L,T,gamma,trapped_count,total_particles,efficiency,T_final_tilde,delta_T_tilde,absolute_delta_T_uK
100000.0,1000.0,1.5625,2000,2000,1.0,0.06913188,0.01913188,1.9131881
100000.0,1642.8572,1.5625,2000,2000,1.0,0.05585991,0.0058599077,0.5859907
100000.0,2285.7144,1.5625,2000,2000,1.0,0.052711777,0.0027117766,0.27117768
100000.0,2928.5715,1.5625,2000,2000,1.0,0.053263865,0.0032638647,0.32638648
100000.0,3571.4287,1.5625,2000,2000,1.0,0.053565048,0.003565047,0.35650468
100000.0,4214.286,1.5625,2000,2000,1.0,0.05269713,0.0026971288,0.26971287
100000.0,4857.143,1.5625,2000,2000,1.0,0.05222554,0.0022255406,0.22255404
100000.0,5500.0005,1.5625,2000,2000,1.0,0.054160584,0.004160583,0.4160583
100000.0,6142.8574,1.5625,2000,2000,1.0,0.050807063,0.0008070618,0.08070618
100000.0,6785.715,1.5625,2000,2000,1.0,0.050732233,0.0007322319,0.07322318
100000.0,7428.572,1.5625,2000,2000,1.0,0.053504676,0.0035046749,0.35046747
100000.0,8071.429,1.5625,2000,2000,1.0,0.05427156,0.0042715594,0.4271559
100000.0,8714.286,1.5625,2000,2000,1.0,0.053980306,0.003980305,0.3980305
100000.0,9357.144,1.5625,2000,2000,1.0,0.05270043,0.0027004294,0.27004293
100000.0,10000.0,1.5625,2000,2000,1.0,0.05326633,0.0032663308,0.3266331
138949.53,1000.0,1.5625,2000,2000,1.0,0.08109093,0.031090926,3.1090927
138949.53,1642.8572,1.5625,2000,2000,1.0,0.055934373,0.0059343725,0.5934372
138949.53,2285.7144,1.5625,2000,2000,1.0,0.0541206,0.0041205995,0.41205993
138949.53,2928.5715,1.5625,2000,2000,1.0,0.05105176,0.0010517575,0.10517574
138949.53,3571.4287,1.5625,2000,2000,1.0,0.05224653,0.0022465289,0.22465289
138949.53,4214.286,1.5625,2000,2000,1.0,0.05176073,0.0017607287,0.17607287
138949.53,4857.143,1.5625,2000,2000,1.0,0.05415735,0.0041573495,0.41573495
138949.53,5500.0005,1.5625,2000,2000,1.0,0.053028814,0.0030288137,0.3028814
138949.53,6142.8574,1.5625,2000,2000,1.0,0.05230865,0.002308648,0.2308648
138949.53,6785.715,1.5625,2000,2000,1.0,0.0518395,0.0018394999,0.18394999
138949.53,7428.572,1.5625,2000,2000,1.0,0.050386544,0.00038654357,0.038654357
138949.53,8071.429,1.5625,2000,2000,1.0,0.051775277,0.0017752759,0.17752758
138949.53,8714.286,1.5625,2000,2000,1.0,0.05343608,0.003436081,0.34360808
138949.53,9357.144,1.5625,2000,2000,1.0,0.053267915,0.003267914,0.3267914
138949.53,10000.0,1.5625,2000,2000,1.0,0.053129874,0.0031298734,0.31298733
193069.72,1000.0,1.5625,1956,2000,0.97800004,0.10141649,0.05141649,5.141649
193069.72,1642.8572,1.5625,2000,2000,1.0,0.06091032,0.010910321,1.0910321
193069.72,2285.7144,1.5625,2000,2000,1.0,0.05637364,0.00637364,0.637364
193069.72,2928.5715,1.5625,2000,2000,1.0,0.05487217,0.0048721693,0.48721695
193069.72,3571.4287,1.5625,2000,2000,1.0,0.053147666,0.0031476654,0.31476653
193069.72,4214.286,1.5625,2000,2000,1.0,0.052278545,0.002278544,0.2278544
193069.72,4857.143,1.5625,2000,2000,1.0,0.054300636,0.0043006353,0.43006352
193069.72,5500.0005,1.5625,2000,2000,1.0,0.0523086,0.0023085997,0.23085995
193069.72,6142.8574,1.5625,2000,2000,1.0,0.054291755,0.004291754,0.4291754
193069.72,6785.715,1.5625,2000,2000,1.0,0.05293959,0.0029395893,0.29395893
193069.72,7428.572,1.5625,2000,2000,1.0,0.0499584,-4.1600317e-05,-0.004160031
193069.72,8071.429,1.5625,2000,2000,1.0,0.050947435,0.00094743446,0.09474344
193069.72,8714.286,1.5625,2000,2000,1.0,0.05028892,0.0002889186,0.028891861
193069.72,9357.144,1.5625,2000,2000,1.0,0.052716404,0.0027164035,0.27164036
193069.72,10000.0,1.5625,2000,2000,1.0,0.0528893,0.002889298,0.2889298
268269.47,1000.0,1.5625,1200,2000,0.6,0.08393332,0.033933323,3.3933322
268269.47,1642.8572,1.5625,2000,2000,1.0,0.06570114,0.015701141,1.5701141
268269.47,2285.7144,1.5625,2000,2000,1.0,0.058981407,0.008981407,0.8981406
268269.47,2928.5715,1.5625,2000,2000,1.0,0.05526176,0.00526176,0.526176
268269.47,3571.4287,1.5625,2000,2000,1.0,0.051980235,0.001980234,0.19802338
268269.47,4214.286,1.5625,2000,2000,1.0,0.050872553,0.0008725524,0.08725524
